priority,delay,speed,congestion,weather,time_of_day,passenger_load,fuel_level,platform_available,distance_to_next,track_condition,historical_punctuality,decision
Freight,1.5,58.1,5,Rainy,Peak,87.8,22.5,True,9.0,Damaged,63.2,Stop
Freight,0.2,27.4,4,Sunny,Peak,34.3,25.8,False,12.3,Damaged,77.4,Stop
Local,1.8,12.6,2,Rainy,Peak,69.8,74.7,True,1.8,Good,73.1,Slow Down
Express,3.0,74.0,1,Cloudy,Peak,83.2,19.6,True,0.5,Maintenance,41.1,Slow Down
Express,2.8,70.0,3,Cloudy,Peak,60.9,58.8,True,10.3,Damaged,66.6,Stop
Express,18.9,81.6,2,Stormy,Non-Peak,61.6,36.8,False,12.9,Good,80.1,Stop
Local,17.7,61.9,1,Foggy,Peak,63.6,15.9,False,1.9,Maintenance,87.5,Slow Down
Express,21.7,80.9,2,Foggy,Non-Peak,33.9,99.8,False,2.2,Good,39.5,Slow Down
Express,20.7,26.4,2,Stormy,Peak,28.6,13.8,True,0.5,Damaged,90.5,Stop
Express,2.5,35.9,3,Cloudy,Non-Peak,87.7,30.9,True,14.3,Maintenance,57.3,Slow Down
Express,1.9,47.5,2,Rainy,Non-Peak,19.8,23.9,False,8.5,Good,58.0,Slow Down
Freight,8.7,29.7,2,Cloudy,Non-Peak,41.4,46.8,True,2.3,Damaged,88.7,Stop
Local,2.5,49.6,5,Foggy,Peak,86.1,81.8,True,5.4,Maintenance,67.3,Slow Down
Express,12.0,74.3,4,Sunny,Peak,43.9,24.5,False,8.5,Maintenance,48.7,Slow Down
Local,9.6,60.5,4,Rainy,Non-Peak,42.0,66.9,True,13.4,Damaged,66.4,Stop
Local,3.6,68.2,1,Foggy,Non-Peak,7.2,88.4,False,18.2,Good,80.4,Slow Down
Express,3.9,91.3,4,Stormy,Non-Peak,40.8,29.9,True,0.5,Good,84.8,Stop
Freight,1.6,77.4,4,Rainy,Non-Peak,68.8,12.8,True,5.3,Damaged,82.1,Stop
Freight,2.1,66.9,4,Cloudy,Non-Peak,54.6,53.3,True,0.6,Good,84.7,Slow Down
Express,6.8,96.0,1,Rainy,Peak,75.8,11.0,False,0.5,Damaged,97.0,Stop
Local,11.9,67.4,0,Rainy,Non-Peak,63.7,22.8,True,3.5,Good,54.7,Slow Down
Freight,4.0,95.6,1,Foggy,Peak,46.3,21.9,False,4.2,Good,69.4,Slow Down
Local,1.1,88.0,0,Rainy,Peak,64.5,88.4,False,6.3,Damaged,42.8,Stop
Freight,22.5,49.3,6,Cloudy,Peak,38.0,54.8,True,4.1,Good,43.1,Slow Down
Express,10.5,72.3,1,Stormy,Peak,15.9,76.8,True,2.8,Damaged,90.7,Stop
Freight,6.7,100.0,5,Stormy,Peak,82.6,21.8,False,6.3,Good,76.6,Stop
Local,20.5,75.4,2,Sunny,Non-Peak,11.8,97.3,True,3.0,Maintenance,88.4,Slow Down
Express,5.6,73.0,2,Rainy,Non-Peak,12.7,86.0,False,8.2,Maintenance,83.4,Slow Down
Express,3.1,67.6,1,Rainy,Peak,69.6,55.7,True,0.5,Maintenance,62.9,Slow Down
Freight,7.2,101.8,1,Foggy,Peak,67.3,97.3,False,0.5,Maintenance,59.2,Stop
Local,11.8,56.7,7,Cloudy,Non-Peak,45.5,69.3,False,2.5,Good,53.4,Slow Down
Express,0.5,58.7,6,Foggy,Peak,45.4,49.2,False,8.5,Good,78.1,Slow Down
Express,4.6,60.3,3,Cloudy,Non-Peak,67.1,64.3,False,5.5,Damaged,27.5,Stop
Freight,7.3,50.9,3,Stormy,Peak,28.2,74.6,False,15.6,Damaged,63.0,Stop
Express,26.2,65.6,2,Foggy,Peak,69.4,37.7,False,8.1,Good,32.8,Slow Down
Local,3.2,40.4,2,Cloudy,Peak,58.1,33.1,False,16.5,Maintenance,68.6,Slow Down
Express,10.0,87.3,5,Foggy,Non-Peak,7.8,41.8,True,1.4,Damaged,44.1,Stop
Freight,11.0,64.8,2,Cloudy,Non-Peak,40.4,12.1,False,5.1,Maintenance,92.6,Stop
Freight,9.0,65.4,3,Foggy,Peak,65.8,99.2,True,0.7,Maintenance,80.0,Slow Down
Local,0.8,48.4,2,Stormy,Peak,25.2,68.6,False,3.8,Maintenance,72.4,Stop
Local,8.2,54.8,1,Sunny,Non-Peak,67.2,58.2,False,0.5,Good,71.0,Stop
Freight,15.9,84.7,3,Cloudy,Non-Peak,67.0,18.0,False,7.0,Maintenance,72.7,Slow Down
Freight,0.4,38.6,1,Rainy,Non-Peak,75.9,50.2,True,4.6,Damaged,74.0,Stop
Express,19.1,76.8,2,Foggy,Non-Peak,24.0,82.5,True,7.8,Good,66.8,Slow Down
Local,11.9,60.6,5,Foggy,Peak,63.3,45.9,True,0.8,Good,66.5,Slow Down
Express,3.7,61.1,2,Sunny,Peak,17.4,23.7,False,0.5,Damaged,63.7,Stop
Express,2.7,53.3,1,Stormy,Non-Peak,43.2,55.8,True,20.0,Damaged,55.1,Stop
Local,7.5,39.1,3,Stormy,Non-Peak,36.4,11.0,False,2.7,Good,83.4,Stop
Express,2.4,67.8,0,Sunny,Peak,29.6,86.0,False,0.5,Good,53.0,Stop
Express,6.5,32.6,7,Cloudy,Non-Peak,17.5,69.3,True,11.3,Damaged,85.5,Stop
Express,1.6,63.4,3,Sunny,Non-Peak,63.5,11.1,True,15.7,Maintenance,37.0,Stop
Local,14.9,39.1,1,Cloudy,Non-Peak,74.4,17.4,False,17.2,Damaged,68.5,Stop
Local,2.3,86.2,3,Cloudy,Non-Peak,37.3,36.4,False,19.6,Good,58.0,Slow Down
Local,10.7,52.7,3,Stormy,Non-Peak,24.0,20.9,False,1.1,Good,89.5,Stop
Local,19.8,78.3,6,Foggy,Non-Peak,42.1,98.6,True,13.9,Maintenance,82.4,Slow Down
Freight,7.0,69.9,3,Sunny,Non-Peak,49.5,78.5,True,0.9,Maintenance,75.9,Slow Down
Freight,2.3,43.0,3,Foggy,Peak,78.9,78.5,True,0.5,Good,47.1,Slow Down
Express,4.0,50.9,7,Stormy,Peak,68.7,18.4,True,4.4,Good,86.5,Stop
Freight,8.2,63.7,4,Stormy,Non-Peak,29.3,40.1,False,7.7,Maintenance,68.1,Stop
Express,1.6,45.7,1,Rainy,Non-Peak,10.7,67.3,False,7.7,Damaged,57.4,Stop
Local,8.5,53.9,2,Sunny,Non-Peak,62.1,85.8,False,1.0,Good,70.9,Slow Down
Freight,0.8,2.6,5,Foggy,Non-Peak,24.6,96.1,False,0.5,Damaged,71.0,Stop
Local,23.7,43.2,3,Cloudy,Peak,89.4,91.0,False,0.5,Good,76.2,Stop
Freight,0.5,70.3,4,Stormy,Non-Peak,19.4,97.5,True,4.7,Maintenance,64.3,Stop
Freight,2.9,64.0,3,Stormy,Peak,62.2,51.2,False,3.3,Good,87.9,Stop
Local,10.5,100.2,1,Cloudy,Peak,70.7,80.8,False,1.1,Damaged,69.4,Stop
Local,7.3,66.5,6,Sunny,Peak,30.6,54.8,False,0.6,Good,75.0,Stop
Freight,33.4,83.0,2,Rainy,Peak,34.5,45.6,False,12.3,Maintenance,49.6,Slow Down
Freight,3.8,53.3,3,Rainy,Non-Peak,57.5,82.3,False,3.5,Maintenance,66.7,Slow Down
Freight,10.1,59.1,3,Foggy,Non-Peak,56.0,90.1,False,0.5,Good,47.6,Stop
Freight,7.8,39.9,4,Sunny,Peak,84.1,84.3,False,0.5,Good,69.7,Stop
Local,13.8,41.6,6,Sunny,Peak,72.3,16.3,True,1.0,Good,54.7,Slow Down
Express,10.3,62.5,2,Sunny,Peak,69.9,78.9,True,7.8,Good,64.1,Move
Freight,8.2,55.2,1,Sunny,Peak,70.0,97.9,False,0.6,Damaged,63.8,Stop
Freight,3.3,51.3,3,Foggy,Peak,79.6,35.3,True,10.3,Good,73.8,Slow Down
Freight,2.8,96.8,0,Sunny,Peak,14.7,37.0,False,6.8,Damaged,59.3,Stop
Local,2.0,57.9,1,Stormy,Non-Peak,62.2,63.9,True,0.6,Good,64.8,Stop
Local,21.1,72.8,3,Rainy,Peak,77.8,49.9,False,4.7,Damaged,56.2,Stop
Local,7.2,55.1,6,Sunny,Peak,47.5,14.1,False,0.8,Damaged,79.6,Stop
Freight,3.3,58.3,2,Foggy,Peak,77.3,36.4,False,13.4,Good,62.4,Slow Down
Freight,4.2,81.5,3,Stormy,Peak,79.2,91.7,False,6.3,Maintenance,26.4,Stop
Local,17.2,49.2,0,Stormy,Peak,37.5,64.3,False,5.8,Good,80.7,Stop
Local,1.3,90.4,1,Cloudy,Non-Peak,36.9,42.6,False,4.5,Maintenance,62.4,Slow Down
Freight,20.7,64.7,3,Cloudy,Non-Peak,24.4,36.6,False,3.3,Good,60.3,Move
Express,4.2,77.1,4,Foggy,Non-Peak,74.5,84.0,True,9.7,Maintenance,96.6,Slow Down
Local,4.6,46.1,4,Cloudy,Non-Peak,30.2,23.9,False,0.5,Good,61.8,Stop
Freight,5.3,82.2,2,Foggy,Peak,82.8,12.5,False,3.5,Good,60.7,Stop
Freight,4.9,54.8,2,Foggy,Non-Peak,63.2,84.4,False,20.0,Damaged,66.7,Stop
Local,4.2,69.0,2,Foggy,Peak,69.7,37.2,True,1.5,Good,69.1,Slow Down
Express,4.3,38.5,5,Stormy,Non-Peak,25.9,45.6,True,0.5,Damaged,75.9,Stop
Freight,12.8,81.7,2,Stormy,Non-Peak,40.8,23.4,True,3.1,Good,45.6,Stop
Freight,4.7,59.0,2,Rainy,Non-Peak,95.8,87.9,True,19.7,Maintenance,83.6,Slow Down
Local,31.2,56.1,4,Cloudy,Non-Peak,36.6,93.4,False,0.5,Damaged,10.6,Stop
Local,1.4,79.0,3,Foggy,Non-Peak,57.1,76.4,False,9.0,Maintenance,52.9,Slow Down
Local,10.7,71.7,2,Stormy,Non-Peak,87.9,41.4,False,0.6,Maintenance,44.1,Stop
Express,0.8,72.2,3,Sunny,Peak,61.8,35.3,False,8.1,Good,55.2,Move
Local,6.5,72.7,4,Cloudy,Peak,21.5,16.5,True,5.7,Good,88.6,Move
Local,8.0,36.9,3,Stormy,Non-Peak,61.9,38.6,False,0.5,Good,75.6,Stop
Express,0.0,63.1,3,Foggy,Peak,36.2,81.0,False,11.1,Good,78.8,Slow Down
Freight,0.9,58.7,3,Sunny,Peak,63.9,78.5,False,15.1,Good,86.9,Move
Express,10.3,53.7,0,Cloudy,Non-Peak,59.8,51.2,True,1.2,Damaged,78.8,Stop
Freight,5.4,66.5,4,Sunny,Peak,85.4,68.6,False,6.7,Maintenance,90.8,Slow Down
Freight,2.2,92.9,3,Stormy,Non-Peak,71.7,11.3,True,2.4,Good,82.6,Stop
Freight,7.6,58.5,4,Stormy,Peak,48.0,21.3,True,0.5,Maintenance,84.5,Stop
Freight,0.2,63.8,3,Sunny,Peak,87.8,12.1,True,11.4,Good,65.4,Stop
Local,3.6,57.9,2,Foggy,Peak,46.1,42.9,True,1.3,Good,69.9,Slow Down
Local,8.6,66.5,3,Stormy,Peak,47.2,90.1,False,6.2,Maintenance,85.2,Stop
Freight,31.7,101.8,3,Foggy,Non-Peak,53.5,59.2,False,2.8,Damaged,53.7,Stop
Local,39.7,69.0,2,Sunny,Peak,55.9,49.3,True,4.5,Damaged,69.7,Stop
Express,15.7,60.8,7,Foggy,Peak,19.2,24.6,True,4.2,Good,44.2,Slow Down
Express,4.4,35.0,3,Cloudy,Peak,61.1,20.7,True,1.7,Good,85.8,Slow Down
Freight,25.1,27.9,4,Stormy,Non-Peak,6.0,27.2,False,12.5,Good,83.8,Stop
Express,0.4,64.3,4,Foggy,Non-Peak,63.4,90.5,False,14.6,Good,57.9,Slow Down
Local,6.9,51.9,2,Rainy,Non-Peak,72.4,16.2,True,14.1,Maintenance,23.6,Slow Down
Express,4.0,80.7,3,Cloudy,Peak,72.0,78.9,True,0.5,Maintenance,78.9,Slow Down
Express,2.6,60.7,2,Sunny,Peak,56.1,37.3,True,2.0,Maintenance,68.8,Slow Down
Local,23.2,48.0,2,Cloudy,Non-Peak,84.1,62.5,False,15.2,Good,64.2,Move
Freight,12.5,29.9,2,Foggy,Non-Peak,35.0,92.9,False,5.9,Damaged,83.4,Stop
Local,2.2,73.5,5,Stormy,Non-Peak,59.6,24.7,True,7.7,Damaged,36.4,Stop
Express,0.1,29.6,4,Stormy,Non-Peak,31.3,82.0,False,4.0,Good,80.2,Stop
Express,20.5,42.7,4,Rainy,Peak,64.5,41.8,False,4.9,Damaged,89.3,Stop
Express,15.3,49.3,2,Rainy,Non-Peak,13.4,66.9,False,1.1,Maintenance,79.9,Slow Down
Express,3.2,65.2,2,Cloudy,Non-Peak,21.1,46.3,False,6.7,Good,34.1,Move
Freight,3.1,58.3,3,Foggy,Non-Peak,20.7,63.9,False,4.9,Maintenance,52.0,Slow Down
Local,3.8,80.3,4,Sunny,Peak,53.7,73.1,False,5.7,Maintenance,66.8,Slow Down
Local,6.0,57.8,4,Stormy,Non-Peak,75.4,92.3,False,2.8,Damaged,41.0,Stop
Express,8.9,50.2,4,Stormy,Peak,60.0,32.4,False,1.2,Maintenance,73.0,Stop
Freight,13.2,92.3,4,Sunny,Non-Peak,88.4,76.9,True,6.7,Damaged,73.9,Stop
Local,8.8,47.6,3,Stormy,Non-Peak,57.3,32.4,True,6.1,Good,54.8,Stop
Local,3.6,24.5,1,Foggy,Non-Peak,63.9,46.9,False,5.3,Good,69.1,Slow Down
Express,2.1,75.8,3,Foggy,Peak,54.4,42.1,False,2.2,Maintenance,58.3,Slow Down
Local,30.5,80.1,4,Stormy,Peak,63.7,27.4,True,9.8,Damaged,70.7,Stop
Local,5.8,37.9,3,Rainy,Peak,39.9,24.5,False,0.5,Damaged,86.3,Stop
Express,2.5,34.8,3,Cloudy,Non-Peak,30.0,65.5,True,4.1,Good,86.0,Move
Express,12.1,60.0,4,Stormy,Peak,27.9,72.3,True,1.2,Maintenance,61.0,Stop
Local,5.4,63.5,0,Foggy,Non-Peak,92.9,32.8,False,0.5,Maintenance,45.2,Stop
Freight,18.5,18.3,4,Rainy,Non-Peak,50.0,91.2,True,1.1,Maintenance,65.1,Slow Down
Express,34.4,78.8,1,Cloudy,Peak,60.1,99.7,True,4.1,Maintenance,68.0,Slow Down
Freight,0.7,47.9,3,Foggy,Non-Peak,8.6,82.4,True,7.4,Maintenance,69.1,Slow Down
Local,16.2,68.3,2,Foggy,Non-Peak,60.6,90.1,True,6.9,Maintenance,65.9,Slow Down
Local,22.0,97.3,3,Stormy,Non-Peak,85.2,48.2,False,11.9,Damaged,75.9,Stop
Local,10.8,90.4,3,Stormy,Non-Peak,43.3,27.2,False,5.9,Good,91.1,Stop
Local,16.9,74.3,1,Rainy,Non-Peak,80.9,33.4,True,0.5,Maintenance,32.6,Slow Down
Express,11.0,28.7,8,Foggy,Non-Peak,33.2,39.4,False,6.9,Maintenance,67.7,Slow Down
Local,0.4,39.7,0,Rainy,Non-Peak,39.1,68.9,True,1.3,Good,73.3,Slow Down
Local,0.4,86.6,8,Cloudy,Non-Peak,82.3,63.7,True,13.2,Maintenance,56.8,Slow Down
Express,54.3,72.5,1,Cloudy,Non-Peak,45.4,94.8,True,0.9,Damaged,64.3,Stop
Express,3.2,81.6,3,Stormy,Peak,18.5,25.3,True,0.5,Maintenance,54.1,Stop
Freight,16.2,60.9,2,Foggy,Non-Peak,53.0,63.4,True,2.2,Maintenance,67.6,Slow Down
Local,9.3,51.0,6,Cloudy,Non-Peak,26.8,86.3,False,0.5,Damaged,63.9,Stop
Local,0.9,66.2,1,Stormy,Peak,51.1,19.1,True,0.9,Good,52.9,Stop
Local,3.6,50.3,3,Foggy,Peak,50.6,87.8,True,0.8,Maintenance,95.3,Slow Down
Express,16.3,57.0,2,Sunny,Non-Peak,76.1,17.4,True,3.1,Damaged,84.4,Stop
Freight,6.1,70.8,8,Sunny,Peak,49.2,53.5,False,9.1,Good,72.5,Slow Down
Freight,6.1,81.1,2,Foggy,Non-Peak,53.7,30.7,False,4.0,Good,92.8,Slow Down
Express,2.0,41.8,2,Cloudy,Non-Peak,34.0,43.7,True,8.0,Good,71.6,Move
Express,15.9,43.1,2,Sunny,Non-Peak,63.4,10.1,True,10.2,Maintenance,55.7,Stop
Local,6.1,45.7,2,Rainy,Peak,58.6,52.1,False,3.1,Damaged,60.2,Stop
Freight,9.1,35.7,4,Stormy,Non-Peak,43.5,13.1,True,4.0,Maintenance,93.0,Stop
Freight,6.0,65.7,1,Cloudy,Peak,32.7,25.6,True,2.4,Maintenance,42.6,Slow Down
Freight,14.8,75.1,3,Cloudy,Non-Peak,25.0,31.1,False,2.1,Damaged,79.1,Stop
Freight,3.1,65.0,7,Stormy,Non-Peak,41.2,40.6,True,0.5,Maintenance,52.5,Stop
Freight,27.4,50.6,2,Sunny,Peak,48.4,50.2,False,3.5,Damaged,41.4,Stop
Freight,14.0,52.6,4,Cloudy,Non-Peak,12.3,90.6,False,12.0,Good,91.2,Move
Local,2.0,43.3,3,Stormy,Non-Peak,51.0,49.0,True,0.9,Damaged,53.0,Stop
Local,13.2,62.1,7,Sunny,Non-Peak,45.8,20.7,False,19.7,Good,74.2,Slow Down
Local,7.6,25.1,6,Foggy,Peak,58.0,30.4,True,4.8,Damaged,93.1,Stop
Freight,17.2,80.6,3,Rainy,Peak,39.2,53.4,True,9.2,Maintenance,84.7,Slow Down
Freight,4.9,22.6,4,Sunny,Non-Peak,94.1,69.1,True,17.7,Good,66.8,Move
Freight,1.2,63.4,3,Foggy,Non-Peak,94.1,83.3,True,4.7,Good,64.0,Slow Down
Express,5.3,83.1,1,Cloudy,Non-Peak,65.1,47.7,False,0.9,Good,89.1,Stop
Freight,13.1,66.4,7,Stormy,Non-Peak,28.9,75.8,False,8.7,Good,75.2,Stop
Freight,5.6,74.6,4,Sunny,Peak,50.3,10.6,True,19.2,Damaged,44.0,Stop
Local,11.1,46.2,6,Stormy,Non-Peak,58.2,94.5,True,1.0,Maintenance,40.4,Stop
Express,5.4,53.4,3,Foggy,Peak,27.0,31.0,False,0.5,Maintenance,76.7,Stop
Local,5.4,52.8,1,Foggy,Non-Peak,5.1,11.0,False,7.7,Good,68.4,Stop
Local,36.4,25.3,4,Rainy,Non-Peak,36.3,30.2,True,1.3,Damaged,76.1,Stop
Local,2.4,1.9,3,Foggy,Peak,32.2,23.4,True,1.6,Damaged,51.2,Stop
Freight,0.4,42.7,3,Foggy,Non-Peak,65.6,30.7,True,2.6,Good,90.2,Slow Down
Express,17.4,37.9,3,Sunny,Non-Peak,33.1,87.9,False,1.7,Good,92.9,Slow Down
Express,4.0,95.3,6,Rainy,Peak,43.3,87.9,False,0.5,Maintenance,71.0,Stop
Freight,9.0,92.5,4,Cloudy,Non-Peak,54.8,29.7,True,0.5,Maintenance,32.6,Slow Down
Local,13.2,66.5,4,Sunny,Non-Peak,10.2,36.6,False,5.5,Maintenance,55.8,Slow Down
Express,0.7,63.9,3,Foggy,Peak,29.6,91.0,False,7.9,Maintenance,34.2,Slow Down
Express,0.0,63.0,2,Foggy,Peak,42.7,39.1,False,5.5,Damaged,27.4,Stop
Local,17.8,64.6,1,Foggy,Peak,68.4,74.1,False,2.2,Maintenance,71.3,Slow Down
Express,31.6,54.0,2,Sunny,Non-Peak,4.5,31.6,True,0.5,Damaged,66.2,Stop
Express,5.9,81.4,4,Cloudy,Peak,32.2,22.0,True,5.0,Maintenance,55.6,Slow Down
Express,14.0,74.1,4,Rainy,Peak,90.1,21.3,True,16.5,Damaged,83.7,Stop
Express,0.9,83.6,3,Cloudy,Peak,91.5,65.2,True,11.4,Maintenance,54.1,Slow Down
Express,10.2,71.5,3,Cloudy,Peak,66.7,15.1,False,7.3,Good,34.8,Move
Express,14.1,14.9,2,Cloudy,Non-Peak,26.5,40.5,True,3.5,Good,96.3,Move
Local,1.2,46.3,4,Sunny,Peak,36.1,68.4,True,15.5,Maintenance,86.5,Slow Down
Express,5.1,43.3,2,Cloudy,Non-Peak,41.2,88.5,True,4.3,Good,56.7,Move
Freight,8.3,87.8,3,Sunny,Peak,70.7,94.6,False,7.0,Damaged,75.4,Stop
Express,9.9,69.8,2,Sunny,Non-Peak,52.3,94.2,False,5.6,Maintenance,40.6,Slow Down
Local,10.3,51.9,1,Cloudy,Peak,60.6,49.8,False,0.5,Damaged,66.7,Stop
Express,16.1,85.4,6,Cloudy,Peak,35.6,15.4,False,4.6,Maintenance,96.0,Slow Down
Local,0.8,62.6,2,Sunny,Peak,68.6,56.1,False,3.3,Maintenance,83.4,Slow Down
Freight,0.6,62.5,4,Sunny,Non-Peak,12.6,95.1,False,9.2,Good,93.9,Move
Express,45.6,62.4,3,Foggy,Peak,31.8,67.8,True,2.6,Good,31.1,Slow Down
Freight,1.9,90.6,2,Cloudy,Non-Peak,52.8,59.2,False,3.2,Damaged,65.5,Stop
Local,15.3,52.9,4,Foggy,Non-Peak,22.5,47.8,False,4.3,Good,74.1,Slow Down
Local,11.8,65.6,2,Sunny,Peak,97.0,70.8,False,2.5,Maintenance,82.5,Slow Down
Express,5.4,82.9,2,Stormy,Non-Peak,39.2,12.3,False,2.2,Maintenance,93.0,Stop
Freight,8.4,68.7,4,Sunny,Non-Peak,75.3,35.9,False,0.5,Maintenance,41.5,Stop
Local,8.8,42.2,5,Foggy,Non-Peak,44.5,63.7,True,8.3,Damaged,74.3,Stop
Freight,2.0,63.9,2,Sunny,Peak,90.9,65.4,True,0.5,Good,45.4,Slow Down
Freight,16.7,81.4,1,Sunny,Non-Peak,62.7,69.7,True,5.7,Damaged,69.1,Stop
Express,2.6,52.7,3,Cloudy,Non-Peak,31.4,78.2,True,7.1,Maintenance,48.2,Slow Down
Freight,15.2,63.8,4,Stormy,Peak,54.6,55.4,False,1.9,Damaged,92.3,Stop
Freight,5.2,43.3,6,Foggy,Peak,71.9,53.8,True,0.6,Good,36.1,Slow Down
Local,3.6,48.3,6,Stormy,Peak,91.1,20.8,True,1.9,Maintenance,67.8,Stop
Local,4.0,84.1,4,Foggy,Peak,48.9,88.6,False,0.9,Damaged,81.7,Stop
Express,4.8,96.1,3,Stormy,Peak,25.4,84.6,False,8.8,Good,55.7,Stop
Express,11.9,77.4,2,Foggy,Non-Peak,27.2,32.4,False,14.2,Maintenance,87.0,Slow Down
Express,0.1,87.0,4,Rainy,Peak,84.5,32.5,False,0.5,Good,91.2,Stop
